 campaign_id,campaign_company,campaign_name,campaign_type,marketing_channel,ad_format,date,impressions,clicks,conversions,  ad_spend  ,device_type,country,audience_segment, cost_per_click , cost_per_mille ,ctr,conversion_rate,cpc_effectiveness_score,roi_score,click_to_conversion_ratio,quality_score,engagement_to_spend_ratio,cost_efficiency_index,week_number,month
1,Amazon,App Install Drive,Leads,Google,Text,15-10-2024,43432,2890,1794,752.33,Mobile,Australia,High Intent,0.26,17.32,0.066540799,0.620761246,3.699294702,62.07612457,1.610027855,4.54,3.841399386,0.419125348,42,10
2,Walmart,End of Season Sale,Engagement,Google,Video,30-10-2024,61577,1271,1932,14.74,Mobile,Germany,High Intent,0.01,0.24,0.020640824,1.520062943,46.30236794,152.0062943,0.65752716,3.33,86.22795115,0.007625453,44,10
3,Target,Holiday Sale Blast,Traffic,Google,Story,03-04-2024,63316,3390,1431,112.68,Mobile,Australia,Cold Audience,0.03,1.78,0.053540969,0.422123894,23.1273025,42.21238938,2.367318436,5.5,30.08519702,0.078687151,14,4
4,eBay,Spring Collection Launch,App Installs,Instagram,Carousel,16-03-2024,44152,1368,579,208.07,Desktop,Germany,Returning Users,0.15,4.71,0.030983874,0.423245614,6.169109357,42.3245614,2.35862069,9.31,6.574710434,0.358741379,11,3
5,AliExpress,App Install Drive,Engagement,Facebook,Carousel,21-04-2024,49136,7684,160,300.4,Desktop,Australia,New Users,0.04,6.11,0.156382286,0.020822488,20.36899586,2.082248829,47.72670807,1.36,25.5792277,1.865838509,16,4
6,Alibaba,Black Friday Campaign,Conversions,Facebook,Image,27-01-2024,26689,1435,1782,33.43,Mobile,Canada,Lookalike Audience,0.02,1.25,0.05376747,1.241811847,30.03348681,124.1811847,0.804823331,9.33,42.925516,0.018749299,4,1
7,Etsy,Cyber Monday Deals,Traffic,Facebook,Video,05-02-2024,86481,3970,1921,517.25,Tablet,Australia,New Users,0.13,5.98,0.045906037,0.483879093,7.128108448,48.38790932,2.065556712,4.69,7.675205413,0.269120708,6,2
8,Shopee,Black Friday Campaign,Conversions,Instagram,Video,28-12-2024,6947,6677,1006,242.15,Desktop,Germany,Cold Audience,0.04,34.86,0.961134303,0.150666467,21.6140101,15.0666467,6.630585899,6.73,27.57381788,0.240466733,52,12
9,Rakuten,Brand Awareness Push,Conversions,Google,Carousel,10-02-2024,93740,1998,201,277.85,Tablet,India,New Users,0.14,2.96,0.021314274,0.100600601,6.708524997,10.06006006,9.891089109,6.66,7.190930358,1.37549505,6,2
10,Flipkart,Diwali Mega Offers,Leads,LinkedIn,Text,30-07-2024,185,5313,1299,281.92,Mobile,Germany,Lookalike Audience,0.05,1523.89,28.71891892,0.244494636,15.85733473,24.44946358,4.086923077,4.14,18.84577185,0.216861538,31,7
11,Myntra,Black Friday Campaign,Sales,Google,Carousel,20-04-2024,96841,3440,1834,490,Mobile,Canada,Returning Users,0.14,5.06,0.035522145,0.533139535,6.559877956,53.31395349,1.874659401,7.04,7.020408163,0.267029973,16,4
12,Ajio,Brand Awareness Push,Awareness,Pinterest,Carousel,02-04-2024,1445,4474,104,853,Desktop,UK,Returning Users,0.19,590.31,3.096193772,0.023245418,4.983625549,2.324541797,42.60952381,1.66,5.245017585,8.123809524,14,4
13,Meesho,Black Friday Campaign,Sales,Facebook,Video,08-11-2024,34455,6991,1316,300.28,Desktop,Germany,Cold Audience,0.04,8.72,0.202902336,0.188242025,18.88489694,18.82420255,5.308276386,9.82,23.28160384,0.228003037,45,11
14,Nykaa,Winter Deals,Sales,LinkedIn,Image,15-01-2024,40377,3976,658,568.68,Desktop,Australia,Cold Audience,0.14,14.08,0.098471902,0.165492958,6.534744593,16.54929577,6.033383915,9.92,6.991629739,0.862943854,3,1
15,Tata Cliq,Diwali Mega Offers,Sales,LinkedIn,Video,02-09-2024,20781,8055,862,881.28,Mobile,India,Lookalike Audience,0.11,42.41,0.387613686,0.107014277,8.374660803,10.70142768,9.333719583,8.16,9.140114379,1.021181924,36,9
16,H&M,Winter Deals,Traffic,YouTube,Story,09-03-2024,38270,4874,635,943.96,Tablet,Australia,Returning Users,0.19,24.67,0.127358244,0.130283135,4.909841845,13.0283135,7.663522013,2.94,5.163354379,1.484213836,10,3
17,Zara,Black Friday Campaign,Conversions,YouTube,Text,22-04-2024,76067,7016,1316,149.88,Desktop,USA,High Intent,0.02,1.97,0.092234478,0.187571266,31.8851118,18.75712657,5.327258922,5.66,46.81078196,0.1138041,17,4
18,Marks & Spencer,Cyber Monday Deals,Conversions,Instagram,Video,20-09-2024,24683,5578,835,257.93,Desktop,Canada,Cold Audience,0.05,10.45,0.225985496,0.149695231,17.78075292,14.96952313,6.672248804,3.44,21.62602256,0.308528708,38,9
19,Uniqlo,End of Season Sale,Brand Building,Facebook,Text,04-08-2024,42196,9821,1574,121.85,Tablet,Canada,Cold Audience,0.01,2.89,0.23274718,0.160268812,44.62873762,16.02688117,6.235555556,2.96,80.59909725,0.077365079,31,8
20,Gap,Brand Awareness Push,App Installs,Google,Carousel,04-06-2024,94641,7949,572,884.04,Tablet,UK,Lookalike Audience,0.11,9.34,0.083991082,0.071958737,8.249872863,7.195873695,13.87260035,4.97,8.991674585,1.542827225,23,6
21,Adidas,Holiday Sale Blast,App Installs,Pinterest,Carousel,11-11-2024,86473,8819,240,696.22,Tablet,UK,High Intent,0.08,8.05,0.101985591,0.02721397,11.24284494,2.721396984,36.593361,7.15,12.66697308,2.888879668,46,11
22,Nike,Back to School Promo,Awareness,Instagram,Story,19-05-2024,21718,3432,1602,951.87,Desktop,Canada,High Intent,0.28,43.83,0.158025601,0.466783217,3.480059623,46.67832168,2.140985652,2.22,3.605534369,0.593805365,20,5
23,Puma,Winter Deals,Leads,Instagram,Carousel,19-05-2024,29000,2633,836,506.6,Mobile,Australia,New Users,0.19,17.47,0.090793103,0.317508545,4.940611337,31.75085454,3.145758662,7.81,5.197394394,0.60525687,20,5
24,Levis,Flash Sale Weekend,Engagement,Facebook,Video,30-08-2024,9772,1950,1266,333.82,Tablet,Germany,Cold Audience,0.17,34.16,0.199549734,0.649230769,5.519076192,64.92307692,1.539068666,6.27,5.841471452,0.26347277,35,8
25,Sephora,Cyber Monday Deals,Remarketing,Facebook,Carousel,27-02-2024,79428,175,1205,32.77,Tablet,India,High Intent,0.19,0.41,0.002203253,6.885714286,5.069524913,688.5714286,0.145107794,2.01,5.340250229,0.027172471,9,2
26,Loreal,App Install Drive,Leads,YouTube,Carousel,06-06-2024,11392,7717,357,321.44,Tablet,Germany,New Users,0.04,28.22,0.677405197,0.046261501,19.35977522,4.626150058,21.55586592,3.26,24.00759084,0.897877095,23,6
27,Maybelline,Back to School Promo,Leads,Facebook,Text,22-10-2024,44367,577,659,576.55,Desktop,Australia,High Intent,1,13,0.013005161,1.142114385,0.99086413,114.2114385,0.874242424,1.65,1.000780505,0.873560606,43,10
28,MAC Cosmetics,Winter Deals,Remarketing,YouTube,Text,19-01-2024,69998,5967,953,795.57,Tablet,Germany,Returning Users,0.13,11.37,0.085245293,0.159711748,6.976988915,15.97117479,6.254716981,6.35,7.500282816,0.833930818,3,1
29,The Body Shop,End of Season Sale,Remarketing,Facebook,Story,27-11-2024,60359,1855,948,475.24,Desktop,Germany,Returning Users,0.26,7.87,0.030732782,0.511051213,3.756657688,51.10512129,1.954689146,5.07,3.903290969,0.500779768,48,11
30,Apple,Festival Discount Drive,App Installs,Pinterest,Story,16-08-2024,22063,7664,772,958.54,Mobile,USA,New Users,0.13,43.45,0.347368898,0.100730689,7.403543345,10.07306889,9.91461837,5.89,7.995493146,1.240025873,33,8
31,Samsung,New Product Launch,Awareness,Instagram,Image,26-02-2024,32360,3572,1183,915.29,Tablet,Germany,Returning Users,0.26,28.28,0.110383189,0.33118701,3.756006772,33.11870101,3.016891892,9.43,3.902588251,0.773048986,9,2
32,Dell,App Install Drive,Brand Building,Facebook,Image,13-06-2024,84926,3748,1112,848.29,Tablet,USA,Returning Users,0.23,9.99,0.044132539,0.296691569,4.231346738,29.66915688,3.367475292,3.56,4.418300345,0.762165319,24,6
33,HP,Lead Generation Boost,Engagement,Google,Text,06-10-2024,38928,658,1451,816.65,Mobile,USA,Cold Audience,1.24,20.98,0.016903,2.205167173,0.799290599,220.5167173,0.453168044,1.06,0.805730729,0.562431129,40,10
34,Sony,Festival Discount Drive,Leads,Pinterest,Text,14-12-2024,74060,8545,1358,902.77,Tablet,India,New Users,0.11,12.19,0.115379422,0.158923347,8.646860011,15.8923347,6.287711553,7,9.465312317,0.664289919,50,12
35,Lenovo,New Product Launch,Brand Building,Facebook,Video,11-10-2024,76490,8793,788,199.31,Tablet,UK,Lookalike Audience,0.02,2.61,0.114956203,0.089616741,30.61203175,8.961674059,11.14448669,4.31,44.11720436,0.2526109,41,10
36,Xiaomi,Flash Sale Weekend,App Installs,Facebook,Text,11-10-2024,76649,7647,358,680.79,Mobile,USA,Returning Users,0.09,8.88,0.099766468,0.046815745,10.09824895,4.681574474,21.30083565,5.74,11.23253867,1.896350975,41,10
